Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),VPC for project,Network Address Translation (NAT) Gateway,0,526.5,6318.00,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),ALB for web server and application server,Application Load Balancer,0,1784.85,21418.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web application AG,Amazon EC2,0,1250.4,15004.80,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (200 GB), Instance type (m3.medium), Provisioning IOPS io1 (1000)"
My Estimate,US East (N. Virginia),Application,Amazon EC2,0,4459.46,53513.52,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (300 GB), Instance type (m6a.xlarge), Provisioning IOPS io1 (5000)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1793,21516.00,USD,"Data transfer out to internet (20480 GB per month), Data transfer out to origin (5120 GB per month), Number of requests (HTTPS) (1000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,51.39,616.68,USD,S3 Standard storage (2048 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Route 53 for Reduce load latency,Amazon Route 53,0,918,11016.00,USD,"Hosted Zones (1), Basic Checks Within AWS (60), Number of Elastic Network Interfaces (10), Number of domains stored ()"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,5252.96,63035.52,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (30 GB), Provisioning IOPS (16000), Quantity (1), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Elastic cache for improve performance of DB,Amazon ElastiCache,0,2271.76,27261.12,USD,"Nodes (1), Instance type (cache.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Memcached), Cache Node Type (Standard), Pricing strategy (OnDemand), Nodes (), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
