Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),VPC for project,Network Address Translation (NAT) Gateway,0,526.5,6318.00,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),ALB for web server and application server,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Web application AG,Amazon EC2,0,562.7,6752.40,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (100 GB), Instance type (m3.medium), Provisioning IOPS io1 (1000)"
My Estimate,US East (N. Virginia),Application,Amazon EC2,0,2120.19,25442.28,USD,"Operating system (Linux), Quantity (5), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (300 GB), Instance type (t4g.xlarge), Provisioning IOPS io1 (5000)"
My Estimate,US East (N. Virginia),RDS DB,Amazon RDS for MySQL,0,3791.8,45501.60,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1024 GB), Provisioning IOPS (16000), Quantity (1), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,973.8,11685.60,USD,"Data transfer out to internet (10240 GB per month), Data transfer out to origin (5120 GB per month), Number of requests (HTTPS) (1000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,27.84,334.08,USD,S3 Standard storage (1024 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
